Collection,FileName,Xpath,Values
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/citation/citeinfo/origin,U.S. Geological Survey, Core Science Analytics and Synthesis Program
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/citation/citeinfo/pubdate,201308
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/citation/citeinfo/title,National Fish Habitat Partnership Data System
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/citation/citeinfo/geoform,Maps, Data, Publication, Software and Tools
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/citation/citeinfo/onlink,http://ecosystems.usgs.gov/fishhabitat/
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/descript/abstract,Version 3.0 of the NFHP Data System consists of data access and visualization tools and underlying data management tools and functions. The NFHP National Assessment Results Viewer allows users to visualize the primary results reported in Through a Fish's Eye: The Status of Fish Habitats in the United States 2010 at various spatial scales. It depicts the condition of stream and coastal habitats across the country on a variety of base maps and provides one-click access to more detailed information at finer scales. The NFHP Data Theme Viewer provides a summarized look at available data by theme. Datasets are displayed to show data distribution and data density nationally, compared to available data linked to the NFHP spatial framework. The first theme to be provided is the Biological Data theme. Future priority data themes will be determined through the efforts of the National Science and Data Committee. The NFHP Data System provides streamlined data access and download capabilities for national and partnership data via a familiar Web page format. Behind the scenes, data management and delivery tools are powered by two existing USGS systems to enhance the data sharing, documentation, and delivery capabilities available to partners: USGS ScienceBase provides the data file upload and catalog services, while the USGS Core Science Metadata Clearinghouse assists with data documentation and preservation best practices that will improve the ability for partners, researchers, and managers whom access and use data now and in the future.
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/descript/purpose,The National Fish Habitat Partnership Data System supports coordinated efforts of scientific assessment and data exchange among the partners and stakeholders of the aquatic habitat community. The underlying data management tools and best practices are the foundation enabling partners, researchers, and managers to access and use data now and in the future.
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,2000
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,Present
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/timeperd/current,publication date
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/status/progress,In work
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/status/update,Frequency of system enhancements are anticipated 2 times a year and as needed, frequency of embedded data catalog updates will be irregular and multiple times throughout the year
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/spdom/descgeog,Nationwide; conterminous U.S. including Alaska and Hawaii
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/spdom/bounding/westbc,-180.0
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/spdom/bounding/eastbc,-63
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/spdom/bounding/northbc,74.00000
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/spdom/bounding/southbc,17.00000
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/keywords/theme/themekt,None
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/keywords/theme/themekey,fish
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/keywords/theme/themekey,fish habitat
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/keywords/theme/themekey,National Fish Habitat Partnership
USGSC,4f4e4773e4b07f02db47e241.xml,/metadata/idinfo/keywords/theme/themekey,NFHP
